text,output
y[0]:,50
y[1]:,-14
y[2]:,-59
y[3]:,9
y[4]:,4
y[5]:,66
y[6]:,31
y[7]:,-28
y[8]:,6
y[9]:,66
y[10]:,-63
y[11]:,34
y[12]:,21
y[13]:,30
y[14]:,67
y[15]:,-20
y[16]:,-26
y[17]:,71
y[18]:,-28
y[19]:,-15
y[20]:,79
y[21]:,-10
y[22]:,-29
y[23]:,52
y[24]:,-46
y[25]:,26
y[26]:,-38
y[27]:,30
y[28]:,32
y[29]:,-32
y[30]:,73
y[31]:,-53
y[32]:,-11
y[33]:,66
y[34]:,9
y[35]:,2
y[36]:,-67
y[37]:,16
y[38]:,56
y[39]:,51
y[40]:,31
y[41]:,30
y[42]:,33
y[43]:,78
y[44]:,-31
y[45]:,-27
y[46]:,12
y[47]:,-10
y[48]:,-35
y[49]:,-52
y[50]:,-52
y[51]:,-4
y[52]:,-58
y[53]:,54
y[54]:,-20
y[55]:,-32
y[56]:,36
y[57]:,-67
y[58]:,37
y[59]:,-10
y[60]:,-36
y[61]:,-40
y[62]:,-37
y[63]:,-44
y[64]:,17
y[65]:,-78
y[66]:,-1
y[67]:,-37
y[68]:,67
y[69]:,11
y[70]:,-4
y[71]:,45
y[72]:,78
y[73]:,-24
y[74]:,-7
y[75]:,-22
y[76]:,-8
y[77]:,-40
y[78]:,-33
y[79]:,-77
y[80]:,-3
y[81]:,42
y[82]:,-13
y[83]:,7
y[84]:,24
y[85]:,-37
y[86]:,-73
y[87]:,28
y[88]:,-2
y[89]:,-32
y[90]:,-65
y[91]:,40
y[92]:,-22
y[93]:,-63
y[94]:,4
y[95]:,-11
y[96]:,12
y[97]:,-13
y[98]:,117
y[99]:,40
y[100]:,39
y[101]:,-45
y[102]:,-20
y[103]:,-46
y[104]:,-37
y[105]:,-30
y[106]:,-45
y[107]:,43
y[108]:,45
y[109]:,-2
y[110]:,-73
y[111]:,-12
y[112]:,-50
y[113]:,-49
y[114]:,36
y[115]:,-6
y[116]:,-7
y[117]:,4
y[118]:,23
y[119]:,-119
y[120]:,-42
y[121]:,-69
y[122]:,2
y[123]:,4
y[124]:,-19
y[125]:,4
y[126]:,44
y[127]:,12
y[128]:,-23
y[129]:,6
y[130]:,81
y[131]:,18
y[132]:,-28
y[133]:,-61
y[134]:,14
y[135]:,-18
y[136]:,7
y[137]:,-55
y[138]:,-11
y[139]:,-124
y[140]:,-45
y[141]:,22
y[142]:,-55
y[143]:,13
y[144]:,74
y[145]:,30
y[146]:,-35
y[147]:,-12
y[148]:,51
y[149]:,48
y[150]:,9
y[151]:,27
y[152]:,-62
y[153]:,38
y[154]:,36
y[155]:,-22
y[156]:,-36
y[157]:,20
y[158]:,-21
y[159]:,55
y[160]:,-31
y[161]:,46
y[162]:,19
y[163]:,12
y[164]:,-60
y[165]:,-46
y[166]:,17
y[167]:,23
y[168]:,13
y[169]:,-41
y[170]:,-10
y[171]:,20
y[172]:,20
y[173]:,8
y[174]:,-76
y[175]:,11
y[176]:,-30
y[177]:,-20
y[178]:,-36
y[179]:,-36
y[180]:,-23
y[181]:,57
y[182]:,-23
y[183]:,-67
y[184]:,56
y[185]:,52
y[186]:,15
y[187]:,27
y[188]:,-68
y[189]:,35
y[190]:,-47
y[191]:,21
y[192]:,-74
y[193]:,8
y[194]:,50
y[195]:,19
y[196]:,42
y[197]:,-23
y[198]:,-61
y[199]:,-3
y[200]:,-57
y[201]:,43
y[202]:,1
y[203]:,18
y[204]:,10
y[205]:,9
y[206]:,101
y[207]:,12
y[208]:,-72
y[209]:,34
y[210]:,24
y[211]:,7
y[212]:,33
y[213]:,42
y[214]:,56
y[215]:,6
y[216]:,66
y[217]:,-36
y[218]:,-44
y[219]:,53
y[220]:,-48
y[221]:,6
y[222]:,-64
y[223]:,-3
y[224]:,-19
y[225]:,37
y[226]:,16
y[227]:,34
y[228]:,-28
y[229]:,-9
y[230]:,27
y[231]:,-3
y[232]:,26
y[233]:,-31
y[234]:,74
y[235]:,19
y[236]:,5
y[237]:,74
y[238]:,-32
y[239]:,-8
y[240]:,-65
y[241]:,8
y[242]:,-50
y[243]:,5
y[244]:,-59
y[245]:,54
y[246]:,-30
y[247]:,2
y[248]:,72
y[249]:,14
y[250]:,-26
y[251]:,25
y[252]:,79
y[253]:,-36
y[254]:,-10
y[255]:,40
